tshuan5 1.0	tsh uan5
keh4 1.0	k eh4
e1  1.0	e1
tshiunn2 1.0	tsh iunn2
piah4 1.0	p iah4
kuan1 1.0	k uan1
mui2 1.0	m ui2
lap8 1.0	l ap8
huan7 1.0	h uan7
phin2 1.0	ph in2
thin5 1.0	th in5
tsainn2 1.0	ts ainn2
tuh8 1.0	t uh8
liong7 1.0	l iong7
phoo2 1.0	ph oo2
iok8  1.0	iok8
boo5 1.0	b oo5
tsuan1 1.0	ts uan1
tshuah4 1.0	tsh uah4
tio5 1.0	t io5
thok4 1.0	th ok4
liam7 1.0	l iam7
uat8  1.0	uat8
lu7 1.0	l u7
tue3 1.0	t ue3
poo2 1.0	p oo2
liat8 1.0	l iat8
giam7 1.0	g iam7
ian2  1.0	ian2
kim3 1.0	k im3
liap4 1.0	l iap4
im1  1.0	im1
hui7 1.0	h ui7
phe3 1.0	ph e3
gian5 1.0	g ian5
tsoo7 1.0	ts oo7
kiat8 1.0	k iat8
pha1 1.0	ph a1
hu7 1.0	h u7
tsik4 1.0	ts ik4
tenn7 1.0	t enn7
giau5 1.0	g iau5
pik4 1.0	p ik4
hua5 1.0	h ua5
tiah4 1.0	t iah4
lai7 1.0	l ai7
tsan3 1.0	ts an3
too7 1.0	t oo7
tah8 1.0	t ah8
tshai2 1.0	tsh ai2
tshng1 1.0	tsh ng1
kai2 1.0	k ai2
kian3 1.0	k ian3
uann3  1.0	uann3
gian2 1.0	g ian2
kiu3 1.0	k iu3
suan1 1.0	s uan1
jioh8 1.0	j ioh8
hing3 1.0	h ing3
tshoo2 1.0	tsh oo2
to7 1.0	t o7
noo2 1.0	n oo2
kho1 1.0	kh o1
ji5 1.0	j i5
tshiann2 1.0	tsh iann2
liam5 1.0	l iam5
tsiam1 1.0	ts iam1
le7 1.0	l e7
ting7 1.0	t ing7
tsun5 1.0	ts un5
ping7 1.0	p ing7
tsoo2 1.0	ts oo2
ngai7 1.0	ng ai7
sa1 1.0	s a1
niau1 1.0	n iau1
ngoo7 1.0	ng oo7
tshe3 1.0	tsh e3
phiah4 1.0	ph iah4
siat4 1.0	s iat4
an7  1.0	an7
giap8 1.0	g iap8
tu5 1.0	t u5
tshu2 1.0	tsh u2
kiong1 1.0	k iong1
ng3  1.0	ng3
suann3 1.0	s uann3
lian3 1.0	l ian3
tsoo1 1.0	ts oo1
tsing2 1.0	ts ing2
iu3  1.0	iu3
tsueh4 1.0	ts ueh4
hian3 1.0	h ian3
ui2  1.0	ui2
tshiong1 1.0	tsh iong1
ham5 1.0	h am5
koo5 1.0	k oo5
oh4  1.0	oh4
lok4 1.0	l ok4
pian3 1.0	p ian3
tsap8 1.0	ts ap8
tsioh8 1.0	ts ioh8
iu5  1.0	iu5
tshong2 1.0	tsh ong2
gam5 1.0	g am5
kham1 1.0	kh am1
san2 1.0	s an2
jun7 1.0	j un7
oo2  1.0	oo2
tsenn2 1.0	ts enn2
ti5 1.0	t i5
hui1 1.0	h ui1
pok8 1.0	p ok8
tut8 1.0	t ut8
kuan2 1.0	k uan2
sim7 1.0	s im7
hut8 1.0	h ut8
khiong2 1.0	kh iong2
thuann3 1.0	th uann3
gui5 1.0	g ui5
tsip8 1.0	ts ip8
khi3 1.0	kh i3
kng2 1.0	k ng2
kiau2 1.0	k iau2
jiau2 1.0	j iau2
hui3 1.0	h ui3
un2  1.0	un2
tsiang2 1.0	ts iang2
hun1 1.0	h un1
o3  1.0	o3
tau5 1.0	t au5
uan5  1.0	uan5
tong2 1.0	t ong2
phai3 1.0	ph ai3
suai3 1.0	s uai3
ia2  1.0	ia2
iann5  1.0	iann5
thng3 1.0	th ng3
tsong1 1.0	ts ong1
phue1 1.0	ph ue1
ting5 1.0	t ing5
phuann3 1.0	ph uann3
ui1  1.0	ui1
iu7  1.0	iu7
mua2 1.0	m ua2
thit4 1.0	th it4
tho5 1.0	th o5
tiunn5 1.0	t iunn5
pun3 1.0	p un3
so3 1.0	s o3
thang2 1.0	th ang2
hoo1 1.0	h oo1
tok4 1.0	t ok4
tsuat8 1.0	ts uat8
tshui1 1.0	tsh ui1
tuan1 1.0	t uan1
phik4 1.0	ph ik4
thua1 1.0	th ua1
penn5 1.0	p enn5
tam5 1.0	t am5
ha5 1.0	h a5
pun5 1.0	p un5
phong3 1.0	ph ong3
luan7 1.0	l uan7
an5  1.0	an5
hiam2 1.0	h iam2
un1  1.0	un1
tui7 1.0	t ui7
kio5 1.0	k io5
tsuann5 1.0	ts uann5
te5 1.0	t e5
siunn1 1.0	s iunn1
tsinn1 1.0	ts inn1
tshan3 1.0	tsh an3
thiam1 1.0	th iam1
ge7 1.0	g e7
thut4 1.0	th ut4
han1 1.0	h an1
tshin3 1.0	tsh in3
bai2 1.0	b ai2
hip4 1.0	h ip4
m2  1.0	m2
siau7 1.0	s iau7
hah4 1.0	h ah4
siok4 1.0	s iok4
tshuan1 1.0	tsh uan1
e7  1.0	e7
kiong2 1.0	k iong2
tsenn1 1.0	ts enn1
kau5 1.0	k au5
tong3 1.0	t ong3
kioh4 1.0	k ioh4
hong7 1.0	h ong7
sui7 1.0	s ui7
ing3  1.0	ing3
lau7 1.0	l au7
long7 1.0	l ong7
me5 1.0	m e5
tshi2 1.0	tsh i2
tshiah4 1.0	tsh iah4
hannh4 1.0	h annh4
tshang3 1.0	tsh ang3
tshiu1 1.0	tsh iu1
pue3 1.0	p ue3
phiau1 1.0	ph iau1
phiat4 1.0	ph iat4
tsang3 1.0	ts ang3
ling1 1.0	l ing1
kuai2 1.0	k uai2
io7  1.0	io7
tsuah8 1.0	ts uah8
hooh4 1.0	h ooh4
hngh4 1.0	h ngh4
muai5 1.0	m uai5
phau3 1.0	ph au3
tshik8 1.0	tsh ik8
tai1 1.0	t ai1
pho1 1.0	ph o1
iap8  1.0	iap8
phuann7 1.0	ph uann7
luan5 1.0	l uan5
thi5 1.0	th i5
boo7 1.0	b oo7
in3  1.0	in3
tsing5 1.0	ts ing5
tin3 1.0	t in3
san3 1.0	s an3
iau5  1.0	iau5
me7 1.0	m e7
long3 1.0	l ong3
him5 1.0	h im5
loo5 1.0	l oo5
phian1 1.0	ph ian1
ting3 1.0	t ing3
au1  1.0	au1
bu2 1.0	b u2
tsian3 1.0	ts ian3
tshik4 1.0	tsh ik4
sing3 1.0	s ing3
hiap8 1.0	h iap8
niu7 1.0	n iu7
khue1 1.0	kh ue1
khueh4 1.0	kh ueh4
tsip4 1.0	ts ip4
kann1 1.0	k ann1
long5 1.0	l ong5
khua3 1.0	kh ua3
khin5 1.0	kh in5
tsok8 1.0	ts ok8
sat4 1.0	s at4
hun3 1.0	h un3
su2 1.0	s u2
jiah4 1.0	j iah4
po7 1.0	p o7
am1  1.0	am1
kham3 1.0	kh am3
tshai5 1.0	tsh ai5
tshiam1 1.0	tsh iam1
gu7 1.0	g u7
iok4  1.0	iok4
hm5 1.0	h m5
lut8 1.0	l ut8
mi1 1.0	m i1
phe7 1.0	ph e7
me2 1.0	m e2
iu1  1.0	iu1
be5 1.0	b e5
ta3 1.0	t a3
bong5 1.0	b ong5
siak4 1.0	s iak4
pai7 1.0	p ai7
un5  1.0	un5
tak4 1.0	t ak4
long1 1.0	l ong1
iunn2  1.0	iunn2
ham7 1.0	h am7
khing2 1.0	kh ing2
tshiu5 1.0	tsh iu5
tsing7 1.0	ts ing7
hiong2 1.0	h iong2
